__label__positive, 努める つとめる 力 と 書い て 努力 努 われる むくわ れる 力 と 書い て 努力 な ん だ だ から 努力 を 怠る な 
__label__positive, 今 という 誇らしい 時間 が ある から 自分 は 頑張れる 
__label__positive, 皆 人生 の 主人公 
__label__positive, バカ は 天才 の 始まり だ よ 
__label__positive, 勝つ ため だけ が 目的 じゃ ない 仲間 と 協力 し て どこ まで やれる か が 一番 の 目的 な ん じゃ ねえ の 
__label__positive, 明日 よい こと が ある と 思っ て ごらん 　 今 幸せ に なる よ 
__label__positive, そして 太陽 が 目 に は いる たとい 太陽 が 目 に はいら なく て も 太陽 の 存在 する こと を 知っ て いる 太陽 が 存在 する こと を 知っ て いる という こと が それ が すなわち 全 生命 な ん だ 
__label__positive, そして 太陽 が 目 に は いる たとい 太陽 が 目 に はいら なく て も 太陽 の 存在 する こと を 知っ て いる 太陽 が 存在 する こと を 知っ て いる という こと が それ が すなわち 全 生命 な ん だ 
__label__positive, 問題 は 時間 に ある の で は なく あなた 自身 に ある の です 太陽 に なり なさい そしたら みんな が あなた を 仰ぎ 見る でしょ う 
__label__positive, 元気 が 一番 元気 が あれ ば 何 でも できる 
__label__positive, どんなに 悔い て も 過去 は 変わら ない どれ ほど 心配 し た ところ で 未来 も どう なる もの で も ない いま 現在 に 最善 を 尽くす こと で ある 
__label__positive, 悩み に 負け て しまわ ず 自分 なり の 新しい 見方 解釈 を 見出し て その 悩み を 乗り越え て いく こと が 大切 で ある 
__label__positive, 悩ん で も 悩ま ない そういう よう に 感じる こと が できれ ば 人生 は 決して 心配 する こと は ない 
__label__positive, 人間 は 本来 働き たい もの 働く こと を じゃま し ない こと が 一番 うまい 人 の 使い方 で ある 
__label__positive, 万策 尽き た と 思う な 　 自ら 断崖絶壁 の 淵 に たて その 時 はじめて 新た なる 風 は 必ず 吹く 
__label__positive, 人 に は 燃える こと が 重要 だ 燃える ため に は 薪 が 必要 で ある 薪 は 悩み で ある 悩み が 人 を 成長 さ せる 
__label__positive, 卵 を 割ら なけれ ば オムレツ は 作れ ない 
__label__positive, 自ら を 助け ない もの を 救お う として も 無駄 だ ハシゴ を 自分 で 登る 意思 の ない もの を 他人 が 押し上げる こと でき ない 
__label__positive, 私 は 特別 な 人間 で は ない しいて 言え ば 普通 の 人 より ちょっと 努力 し た だけ だ 
__label__positive, 世の中 に 失敗 という もの は ない チャレンジ し て いる うち は 失敗 は ない あきらめ た 時 が 失敗 で ある 
__label__positive, 鳥 の よう に 自由 に 空 を 飛び たい なんて いう の は 勝手 だ けど 鳥 が 飛ぶ ため に は 何 万 回 翼 を 動かし て いる か よく 見 て ごらん 
__label__positive, 自信 を 持て ぼく は 世界一 だ と 
__label__positive, お前 の 中 の ストレス モンスター を ころし ちゃ ダメ もしか し たら そいつ は いつか 自分 を 助け て くれる ヒーロー かも しれ ない 
__label__positive, 夢中 に なっ て 走っ た ほう が 一生懸命 に 息 を 吸う ん だ よ 　 そしたら すん げ ー 楽しい から 
__label__positive, 恥さらし ながら 生き て いこ う 
__label__positive, よく 食べ よく 飲む こと それ は 決して つまら ぬ こと で は ない 打ち砕け 打ち砕け 浮か ぬ 顔 を し た 者共 の 食卓 を 
__label__positive, 友達 が いない しゃべれ ない これ は チャンス だ この 時期 に 一生懸命 勉強 し て いろんな こと 考え て 強く なっ て ください 
__label__positive, 男 は 生き様 で 勝負 
__label__positive, 想像 すれ ば 　 創造 できる 
__label__positive, つま ん ねぇ やつ に 自分 の 人生 つまんなく さ れる な 
__label__positive, 人 は 人 の 人間 から 生まれ てれ ば 人 で いる こと は 全く 寂しく ない 愛し合っ た 人 の 人間 から 生まれ た から 人 で いる の は 寂しい ん です 
__label__positive, 苦しい 峠 で も 必ず 下り 坂 に なる 
__label__positive, ｢ 私 の ほほえみ は “ 神さま の ポケット に 入っ た の だ ｣ と 考える 
__label__positive, 神 は 決して あなた の 力 に 余る 試練 を 与え ない 
__label__positive, 他 人任せ で は 幸せ は 得 られ ない 　 自分 が 光 と なっ て 世の中 を 照らそ う 
